category	hue
Africa	20
Asia	70
Europe	140
Europe/Asia	190
North America	240
Oceania	290
South America	340
A	0
A.1	10
A.2	20
A.3	30
B	80
C	130
C.1	160
C.2	190
C.3	230
C.4	240
C.5	270
NCBI	30
ITpS	90
Sus scrofa	330
Homo sapiens	30
restricted	0
open	200
